H-ID,type_id,source_language 965,language 1090,author_or_creator 15 H-ID,author 1091,title 1092,date 9,century 1093,date_freetext 1094,geste 1097 H-ID,geste_freetext 1098,scripta 1099,scripta_freetext 1100,status_trad 1101,status_trad_freetext 1102,lost_older_version_choice 1103,lost_older_version_identification 1104 H-ID,ancient_translations_freetext 1105,ancient_translations_total 1106,rewritings_freetext 1107,rewritings_total 1108,note 1109,jonas_id 1110,arlima_id 1111,deaf_reference 1112,moisan_reference 1113,moisan_cycle 1114,bossuat_reference 1115,stemma 1117 H-ID,suard_reference 1118,genre 1129,subgenre 1130,form 1163,verse_type 1165,length 1166,rhyme_type 1167,arlima_link 1181
667,101,,,,,Continuation P de Huon de Bordeaux (Huon roi de feerie…),1250-01-01 00:00:00|1500-01-01 00:00:00,,XIII2/2 ou XV ?,223,Huon de Bord.,,lorr. plutôt que pic.,surviving,,,,,,,,"HuoncpK Cycle de Huon de Bordeaux, continuation ‘Huon, roi de feerie’, en vers décasyllabiques, contenant trois épisodes, Huon, roi de féerie (444 v.), Combat de Huon contre les géants (404 v.) et Huon le desvey (plus de 160 v.). À clarifier. Voir Schafer, Über die Pariser hss. 1451 und 22555…D'après Arlima "" Continuation de la chanson de geste Huon de Bordeaux qui se divise en trois épisodes: « Huon, roi des fées », « Le combat contre les géants » et « Huon le desvey ». La fin du dernier épisode est mutilée."" Cf. aussi Arlima. On retrouve en partie les mêmes épisodes que dans la continuation du ms. de Turin, mais pas tous ni dans le même ordre. En fait, dans ce cas comme pour les continuations du ms. de Turin, le fait de découper ou non en différents épisodes est assez largement dû aux éditeurs, et pas à la trad. manuscrite. On pourrait découper la continuation P, de la même manière qu'unir les suites du ms. de Turin",,,HuoncpK,HRF,Huon de Bord.,,,,,,,,,,https://arlima.net/no/3448
724,101,,,,,Couronnement de Louis,1130-01-01 00:00:00|1150-01-01 00:00:00,,"XII, c. 1130, 1131-1150",89,Couronnement de Louis,,IdF / pic.,surviving,,maybe,,,,Oui,,"Rédactions AB et C à distinguer? Existe  aussi une Mort Charlemagne franco-italienne, cf. Bossuat sIII p. 109. Voir Moisan sIII: remaniements en prose pourraient prouver une version antérieure mettant au 1er plan la lutte de Guillaume contre Corsolt; on a aussi supposé que les 5 branches du texte héritaient de 5 chansons indépendantes.",,,,CL,Guillaume,I p. 29; sII p. 23; sIII p. 105,,,,,,,,,https://arlima.net/no/975
627,101,,,,,"Couronnement de Louis (Rédaction AB) (Les Rédactions en vers du Couronnement de Louis, éd. par Yvan G. Lepage, Paris)",,,,89,Couronnement de Louis,,,surviving,,,,,,,,,,,,CL,Guillaume,I p. 62; sII p. 27; sIII p. 133,,,,,,,,,https://arlima.net/no/975
773,101,,,,,Croissant,1280-01-01 00:00:00|1320-01-01 00:00:00,,XIIIfin/XIVdeb,222,Croissant,,pic.?,fragm,fragm?,,,,,,,"Version en décasyllabes (cycle en décasyllabes de Huon). Insérée dans l'Yde et Olive du ms. de Turin. À considérer ou non comme le même texte? Trois textes à distinguer, a priori, Croissant perdu du fragment éd. Stadtler, continuation Croissan t du ms. de Turin, Croissant en prose.",,,,,,,,,,,,,,,
757,101,,,,,Croissant,1350-01-01 00:00:00|1400-01-01 00:00:00,,XIV2/2 (DEAF),222,Croissant,,,fragm,,,,,,mise en prose,,"Version en alexandrin, appartenant au cycle en alexandrins de Huon de B. Continuation de Huon de Bordeaux, cf. Th. Städtler, « Deux fragments d'une chanson de geste perdue, la Chanson de Croissant », Romania, 125, 2007, p. 213-228. Ainsi que H. Schafer, Marburg, 1982, Ausgaben und Abhandlungen aus dem Gebiete der Romanischen Philologie 90 4-34). RABY , Michel J. (éd.) : La «Chanson de Croissant» en prose du XV e siècle, Bern/New York/Berlin/Paris, Lang, (Studies in the Humanities, 57), XXXIX -141 pages.",,,,Cr,Huon de Bord.,,,,,,,,,,https://arlima.net/no/5389
629,101,,pro,,,Crosada / Croisade albigeoise – continuation,,,,200,Crosada,,,surviving,,,,,,,,"Continuation anonyme du précédent, pour la période 1214-1219 (vers 2773-9578).",,,,,,I p. 63; sII p. 28; sIII p. 134,,,,,,,,,https://arlima.net/no/1300
603,101,,,,Cuvelier,Bertrand Du Guesclin,1380-01-01 00:00:00|1387-01-01 00:00:00,,"XIVfin, c. 1380-1387",233,Bertrand Du Guesclin,,pic.,surviving,,,,,,,,"en alexandrins rimés. This text has been composed, and almost immediately gave birth to two separated ""mises en prose"", cf. 10.15122/isbn.978-2-8124-1729-0.p.0347",,,,,,I p. 58; sII p. 27; sIII p. 130,,,,,,,,,https://arlima.net/no/900
630,101,,fro_PRO,,,Daurel et Beton,1170-01-01 00:00:00|1200-01-01 00:00:00,,"XII, c. 1170-1200",159,Daurel et Beton,,"lim., agenais",surviving,,,,,,,,,,,,DB,anglaise,sIII p. 185,,,,,,,,,https://arlima.net/no/271
708,101,,,,,Delivrance d'Ogier le danois,1200-01-01 00:00:00|1220-01-01 00:00:00,,"XIIIdeb, 1200-1220",127,Delivrance d'Ogier le danois,,NA,fragm,,maybe,,,,,,"A. de Longperrier, Journal des savants, avr. 1876, 219-233.",,,,DOD,"Doon de Maience, Charlemagne",,,,,,,,,,
678,101,,,,,Departement des fils d'Aimeri,1180-01-01 00:00:00|1200-01-01 00:00:00,,XIIfin,102,Narbonnais,,centr.?,surviving,,,,,,Mise en prose dans le Guillaume d'Orange en prose,,"Partie 1 des Narbonnais. Arlima distingue pas moins de 4 versions, dont la D est la mise en prose; la A, la version brève à la fin des Enfances Guillaume; B et C ont des manuscrits.",,,,DFA,Guillaume,I p. 54,,,,,,,,,https://arlima.net/no/5627
725,101,,,,,Destruction de Rome I / Destructioun de Rome,1170-01-01 00:00:00,,"XII, c. 1170",157,Destruction de Rome,,"NE, pic., norm.",surviving,,maybe,,,,,,"Aurait existé une version antérieure perdue, ayant été remaniée pour servir de prologue à Fierabras; Moisan sIII, cf. ed. Muret des fragm. de Genève.",,,,DRo1-2,Charlemagne,,,,,,,,,,https://arlima.net/no/1009
710,101,,,,,Destruction de Rome II,1170-01-01 00:00:00,,"XII, c. 1170",157,Destruction de Rome,,pic.,fragm,,maybe,,,,,,"E. Muret, R, 44 1915-7, 215-220.",,,,DRo3,Charlemagne,I p. 28; sII p. 22; sIII p. 104,,,,,,,,,https://arlima.net/no/1009
726,101,,,,,Doon de la Roche,1180-01-01 00:00:00|1220-01-01 00:00:00,,"XIII, XIIfin ou XIIIdeb",235,Doon de la Roche,,lorr.,surviving,,maybe,,,,,,Possible remaniement d'une chanson antérieure. Cf. aussi Moisan sIII.,,,,DR,indép.,,,,,,,,,,https://arlima.net/no/1042
727,101,,,,,Doon de Mayence,1200-01-01 00:00:00|1300-01-01 00:00:00,,XIIIdeb ou apr. 1250,211,Doon de Mayence,,pic.?,surviving,,maybe,,,,mises en prose,,Serait remaniement d'une vers. plus anc. Voir aussi les éditions de fragments de Busby and co (Arlima),,,,DM,"Doon de Maience,Charlemagne",I p. 30; sII p. 23,,,,,,,,,https://arlima.net/no/1043
519,101,,,,,Doon de Mayence perdu,1101-01-01 00:00:00|1200-01-01 00:00:00,,XII,211,Doon de Mayence,,,lost,,,,,,,,"Attestée par les prologues de Gir Vienne, les v. 475-481 de Ren Montauban; Moisan sIII.",,,,,,sIII p. 111,,,,,,,,,
728,101,,,,,Elie de Saint Gille,1101-01-01 00:00:00|1200-01-01 00:00:00,,XII,140,Elie de Saint Gille,,,surviving,,maybe,,norroise,,,,"(Problématique d'attribution entre cette chanson et Aiol, cf. Bossuat). Existerait un texte plus ancien, dont cette chanson serait un remaniement, et qui ne la liait peut-être pas à Aiol (cf. Suard). Voir discussion Delbouille, RBPH 11 1932 577. Selon Moisan, original fin XIIe, remaniement pic. déb. XIIIe. Cf. aussi Moisan sIII.",,,,ESG,Saint-Gilles,I p. 30; sII p. 23,,,,,,,,,https://arlima.net/no/1065
611,101,,,,,Enfances Bovo [Geste Francor],,,,148,Bueve de Hanstonne,,,surviving,,,,,,,,,,,,BH6-7 etr.,anglaise,,,,,,,,,,https://arlima.net/no/862
631,101,,,,,Enfances Doon de Maience ou Jennesces Doolin,1200-01-01 00:00:00|1320-01-01 00:00:00,,"XIII-XIV, 1250-1320",212,Enfances Doon de Maience,,pic.,surviving,,,,,,,,,,,,EDM,Doon de Maience,I p. 65; sIII p. 137,,,,,,,,,
632,101,,,,,Enfances Garin de Monglane,1280-01-01 00:00:00|1320-01-01 00:00:00,,XIIIfin-XIVdeb,86,Enfances Garin de Monglane,,pic.,surviving,,,,,,,,,,,,EGaM,Garin de Monglane,I p. 65,,,,,,,,,https://arlima.net/no/1073
549,101,,,,,Enfances Girart de Roussillon,,,,216,Enfances Girart de Roussillon,,,lost_low-cert,,,,,,,,"Hypothèse d'une chanson perdue antérieure à la 'chanson de Vaubeton' (qu'est-ce que c'est?), se passant en Roussillon et Catalogne, selon R. Louis, Girard, comte de Vienne dans les chansons de geste: Girart de Vienne, Girart de Fraite, Girart de Roussillon, Auxerre, 1947, II, 264-265, 284. Cf. aussi Gamilscheg, Mélanges Charles Bruneau, 1954, 217-233. Moisan sIII.",,,,,,I p. 42,,,,,,,,,
633,101,,,,,Enfances Godefroi,1100-01-01 00:00:00|1400-01-01 00:00:00,,XIV ? [XII dit Bossuat],190,Enfances Godefroi,,,surviving,,,,,,,,"cf. chevalier au cygne, à éclaircir. Moisan renvoie à Godefroi de Bouillon, GoB. Citation de Claude Fauchet, jadis non identifiée, cf. The Old French Crusade Cycle volume 1: La Naissance du Chevalier au Cygne_, p. lxiv",,,,,,I p. 65; sIII p. 137,,,,,,,,,
634,101,,,,,Enfances Guillaume,1200-01-01 00:00:00|1250-01-01 00:00:00,,XIII1/2,90,Enfances Guillaume,,Nord-Est?,surviving,,,,,,,,,,,,EG,Guillaume,,,,,,,,,,https://arlima.net/no/1075
636,101,,fro_IT,,,Enfances Ogier le Danois [Geste Francor],1180-01-01 00:00:00|1200-01-01 00:00:00,,XIIfin,129,Enfances Ogier,,,surviving,,,,,,,,,,,,EO2 etr.,"Doon de Maience,Charlemagne",,,,,,,,,,https://arlima.net/no/248
520,101,,,,,Enfances Ogier perdue,,,,129,Enfances Ogier,,,lost,,,,,,,,"Source d'Adenet 'ne s'identifie avec aucun texte connu', et la version fr-it serait un des témoins les plus anciens. À clarifier. Moisan sIII.",,,,,,,,,,,,,,,
772,101,,,,,Enfances Rainouart,,,,109,Enfances Rainouart,,,fragm,fragm / à éclaircir,,,,,,,"Fragm. divers constituant une forme d'Enfances Rainouart dans Al, BL, EV, G, MR et le roman en prose BnF, fr. 796 de 1497, selon Moisan. Voir Runeberg, Études sur la geste Rainouart, 1905. Moisan sIII.",,,,,,,,,,,,,,,
637,101,,,,,Enfances Renier,1250-01-01 00:00:00|1300-01-01 00:00:00,,XIII2/2,110,Enfances Renier,,IdF orient. avec pic.,surviving,,,,,,,,,,,,ERe,Rainouart,,,,,,,,,,https://arlima.net/no/1077
550,101,,,,,Enfances Roland,,,,939,Enfances Roland,,,lost_low-cert,,,,,,,,"Voir Moisan Cha et H. Damman, ""Über das verlorene epos 'Enfances Roland'…"" qui compare trois versions de cette légende: Berta e Milone, Orlandino et épisode du roman de Charlemagne de Girart d'Amiens",,,,,,,,,,,,,,,
640,101,,,,,Enfances Vivien,1200-01-01 00:00:00|1300-01-01 00:00:00,,XIIIdeb ou XIII3/3,118,Enfances Vivien,,IdF?,surviving,,,,,,roman en prose,,https://www.arlima.net/eh/enfances_vivien.html: permalien manquant,,,,EV,"Vivien, Guillaume",,,,,,,,,,
552,101,,,,,Enfants Cygnes,,,,191,Enfants Cygnes?,,,lost_low-cert,,,,,,,,la prose du BnF fr. 781 a pu se fonder sur une version perdue. Moisan sIII.,,,,,,,,,,,,,,,
641,101,,fro_IT,,,Entrée d’Espagne,1280-01-01 00:00:00|1350-01-01 00:00:00,,XIIIfin/XIVdeb ou XIV1/2,117,Entrée d’Espagne,,Padoue,surviving,,,,,,,,"D'après Aebischer, Girart de Vienne primitif, et Entrée d'Espagne primitive seraient antérieurs au Roland (B sIII no 1195)",,,,EE,Charlemagne,,,,,,,,,,https://arlima.net/no/172
553,101,,,,,Entrée d’Espagne perdue,1050-01-01 00:00:00|1120-01-01 00:00:00,,XI2/2-XIIdeb,117,Entrée d’Espagne,,,lost_low-cert,,,,,,,,"Moisan sIII. Version perdue supposée connue par auteur du pseudo-Turpin, de la KS, qui 'permet de mieux comprendre beaucoup de passages et d'allusions du Roland d'Oxford et est importante pour sa protohistoire'. Voir aussi Ferragu de Nazze.",,,,,,,,,,,,,,,
642,101,,fro,,,Esclarmonde,1275-01-01 00:00:00|1300-01-01 00:00:00,,XIII4/4,224,Esclarmonde,,"pic., art.",surviving,,,,,,"One alexandrine version, and one prose version.",,Deux versions: une continuation du ms. de Turin de Huon de Bordeaux; en décasyllabes. La version du ms. de Turin inclut une section 'Huon roi de feerie'.,,,,Esc1,Huon de Bord.,I p. 69,,,chanson de geste,,verse,decasyllables,,rhyme,https://arlima.net/no/275
643,101,,fro,,,Esclarmonde,1351-01-01 00:00:00|1400-01-01 00:00:00,,14 2/2 ? (DEAF),224,Esclarmonde,,,surviving,,,,,,There is also a prose version (but is it a rewriting of the decasyllabic or alexandrine version?),,"Alexandrine version, kept in a 15th c. manuscript (fr. 1451); published by  H. Schäfer, Chanson d'Esclarmonde : Erste Fortsetzung der Chanson de Huon de Bordeaux, nach der Pariser Handschrift Bibl. Nat. frc. 1451, eingeleitet und herausgegeben von Dr. Hermann Schäfer, Worms, 1895.",,,,,,,,,chanson de geste,,verse,alexandrines,,,https://arlima.net/no/275
521,101,,,,,Ferragu de Nazze,1001-01-01 00:00:00|1110-01-01 00:00:00,,"XI – XIIdeb, av. 1110.",128,Ferragu de Nazze,,,lost,,,,,,,,"Selon Menendez Pidal, le 'Seminense' écrivant en Léon c. 1110 a pu se référer à une vieille chanson sur le sujet; résumé dans PsTurpin c. 1130, développement dans l'Entrée d'Espagne, et possible résumé dans le Ferragus en prose Bruxelles 3030. Aurait célébré duel entre Roland et ce géant selon G. Paris [liens possibles Otinel]. Moisan sIII.",,,,,,,,,,,,,,,
730,101,,fro,,,Fierabras,1170-01-01 00:00:00|1200-01-01 00:00:00,,"XII, c. 1170 ou XII3/3",158,Fierabras,,pic. / NE / norm.,surviving,,maybe,,"occitan, italien, anglais, néerlandaise fragmentaire,…",,,,"Sur la version néerlandaise, fragment de Bourbourg, cf. KESTEMONT, Mike: Tussen feit en fictie. Over Roelands wapenschild en een Zuid-Vlaams ontstaansmilieu voor de Middelnederlandse «Fierabras», Nederlandse Letters-kunde, 1, 2011, pp. 1-12. Pas sûr que soit vraiment un Fierabras, d'ailleurs, cf. BESAMUSCA , Bart : Unidentifizierte mittelniederländische Karlsepen. Die «Idée fixe» der mittelniederländischen Literatur als Übersetzungsliteratur, dans Chansons de geste im europäischen Kontext..., pp. 26-35.",,,,Fi1-3,Charlemagne,I p. 30; sII p. 23; sIII p. 106,829,,,,,,,,https://arlima.net/no/1155
546,101,,pro,,,Fierabras occitan,1180-01-01 00:00:00|1240-01-01 00:00:00,,"XII/XIII, avant Fierabras fr, ou XIIIdeb, ou c. 1230-1240",158,Fierabras,,prov.,surviving,,yes,,,,,,Début du texte pourrait remonter à une autre tradition?,,,,Fi4,Charlemagne,I p. 22,,,,,,,,,https://arlima.net/no/1156
522,101,,,,,Fierabras perdu,,,,158,Fierabras,,,lost,,,,,,,,"Moisan sIII: serait modèle du Fierabras occitan, et des mises en prose du XVe. Hypothèse d'une vers. néerlandais perdue.",,,,,,I p. 36,,,,,,,,,
704,101,,,,,Fin d'Elias,1200-01-01 00:00:00|1218-01-01 00:00:00,,av. 1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,101,,,,,Fin de Maugis / Mort de Maugis,1200-01-01 00:00:00|1300-01-01 00:00:00,,XIII,133,Fin de Maugis,,,surviving,,,,,,,,"Dans le BnF, fr. 766, en 1244 alexandrins rimés. Cf. Suard p. 222.",,,,,,,,,,,,,,,https://arlima.net/no/5044
645,101,,,,,Fin de Maugis / Mort de Maugis,,,,133,Fin de Maugis,,,surviving,,,,,,,,"Version sensiblement différente (remaniement?) dans BL Royal 16 G II, en 1896 alexandrins rimés. Cf. Suard p. 293",,,,,,,,,,,,,,,
647,101,,,,,Floovant,1180-01-01 00:00:00|1200-01-01 00:00:00,,XIIfin,74,Floovant,,IdF,surviving,,,,néerlandaise,,,,"Version néerlandaise c. 1200 (cf. VAN O OSTROM , Frits : Grote oorzaken, kleine gevolgen? Over een bijfiguur in de « Flovent », en het primaire publiek van de Middelnederlandse ridderroman, dans Karolus Rex..., pp. 105-115).",,,,Fl,indép.,I p. 69; sII p. 28,,,,,,,,,https://arlima.net/no/1169
732,101,,,,,Florence de Rome,1180-01-01 00:00:00|1225-01-01 00:00:00,,XIIfin ou XIII1/4,208,Florence de Rome,,francien,surviving,,maybe,,,,,,Hypothèse de Zumthor d'une version antérieure perdue (Moisan sIII). Existe d'autres versions et remaniements.,,,,FR1,Dagobert,,856,,,,,,,,https://arlima.net/no/240
557,101,,,,,Florence de Rome,1300-01-01 00:00:00|1400-01-01 00:00:00,,XIV,208,Florence de Rome,,,surviving,,yes,,,,,,"remaniement du précédent. Existe aussi un FR3 chez Moisan. Existe aussi, de Jean de Saint-Quentin, un texte, pas forcément une chanson de geste (quatrain d'alexandrins monorimes, autoqualifié comme 'dit"")",,,,FR2,Dagobert,,,,,,,,,,https://arlima.net/no/242
649,101,,,,,"Florent et Octavian, partie 3",1380-01-01 00:00:00|1420-01-01 00:00:00,,XIVfin – XVdeb,209,Florent et Octavian,,,surviving,,,,,,,,"Nombreuses autres versions, certaines uniquement en imprimé, rimées ou en prose, cf. R. Bossuat, https://www.persee.fr/doc/roma_0035-8029_1952_num_73_291_3326",,,,,,,,,,,,,,,https://arlima.net/no/245
568,101,,fro,,,"Florent et Octavian, parties 1-2",1356-01-01 00:00:00,,"XIV, c. 1356",209,Florent et Octavian,Picardy,paris? picard?,surviving,,yes,911,,,,,"2 versions, une AN en octosyllabe; une pic. en alexandrins. La seconde, décrite ici, étant réputée une amplification de la 1re. Vraiment une chanson? Moisan sIII: versions intermédiaires perdues entre le texte parisien de c. 1356 et le remaniement du XVe, à la source des récits italiens, et peut-être d'un texte castillan.",,,,FO et Oct1,Dagobert,,,,chanson de geste,,verse,alexandrines,,,https://arlima.net/no/12071
911,101,,fro,,,Florent et Octavien,1101-01-01 00:00:00|1200-01-01 00:00:00,,,209,Florent et Octavian,,,lost,"chanson hypothéthique, source des versions des 13e et 14e",,,"2 english, 1 german, 2 italian, and possibly a castillan version",,"Two French versions (one in octosyllabic verses of the 13th c., one in alexandrines of the 14th), and one in prose.",,"Stemma in: Krappe_1939_FlorentOctavien
Hypothetical source text of all versions of Florent and Octavien, that would be a chanson of the 12th century, according to  Krappe Alexander Haggerty. Florent et Octavian. In: Romania, tome 65 n°259, 1939. pp. 359-373. DOI : https://doi.org/10.3406/roma.1939.3945",,,,,,,,,chanson de geste,,verse,,,,
912,101,,fro_ENG,,,Florent et Octavien,1281-01-01 00:00:00|1300-01-01 00:00:00,,Fin du 13e,209,Florent et Octavian,,anglo-normande?,surviving,,maybe,911,"2 english versions, and 1 german",,,,cf. https://www.persee.fr/doc/roma_0035-8029_1939_num_65_259_3945,,,,,,,,,roman,,verse,octosyllables,,,https://arlima.net/no/11981
914,101,,fro,,,Florent et Octavien,1354-01-01 00:00:00|1358-01-01 00:00:00,,Vers 1356,209,Florent et Octavian,,,surviving,,,,,,,,stemma in Laborderie 1991,,,,,,,,,chanson de geste,,verse,alexandrines,,,https://arlima.net/no/12071
913,101,,frm,,,Florent et Octavien,,,,209,Florent et Octavian,,,surviving,,yes,,,,,,"Mise en prose of Florent et Octavien, also followed by "" a series of imprints running from 1500 into the early seventeenth century"". Florent et Octavien: The Fourteenth-Century Poem
Charity Cannon Willard
Olifant, Vol. 14, No. 3/4 (Fall & Winter 1989), pp. 179-189 
https://www.jstor.org/stable/45298813",,,,,,,,,,,prose,,,,https://arlima.net/no/12072
578,101,,,,,Fouke Fitz Warin,,,,,,,,lost_low-cert,,,,,,,,"Modèle octosyllabique perdu du roman en prose, de la matière d'Angleterre. Mais est-ce vraiment une chanson de geste?",,,,,,,,,,,,,,,
712,101,,,,,"Fragment de Cambridge, Additional 3303 (source possible pseudo-Turpin)",,,,152,NON IDENTIFIÉ 1,,,fragm,,maybe,,,,,,"P Meyer, Romania 35, 1906, P. 22-32. Dans ce texte, on voit Ogier combattre Agolan dans un contexte rappelant la 3e expédition d'Espagne du PsT.",,,,,,,,,,,,,,,
768,101,,,,,Fragment de Saint-Marin,,,,125,NON IDENTIFIÉ 2,,,fragm,,,,,,,,"San Marino, Huntigton Library HM 62 vol. 1; Angleterre, Rochester, c.~1140-1150; fragm. d'une geste inconnue ajouté à la fin d'une bible du XI\ieme{}, cf. Livres XIIe…, cat.~89",,,,,,,,,,,,,,,
734,101,,,,,Gaidon,1218-01-01 00:00:00|1240-01-01 00:00:00,,"XIII1-2/2, après 1218, 1210-1240, 1234",165,Gaidon,,fr.?,surviving,,maybe,,,,,,"Refonte d'un texte antérieur? Moisan sIII. Stemma (not drawn) in Karsch 1907, Greifswald.",,,,Gay,Charlemagne,,,,chanson de geste,,verse,decasyllables,,,https://arlima.net/no/639
579,101,,,,,Galien (li Restorés),1200-01-01 00:00:00|1300-01-01 00:00:00,,XIIIfin; c. 1200 (Horrent),162,Galien,,Nord IDF,surviving,,yes,,,,Deux versions en prose,,Remaniement d'un texte de 1150-1200.,,,,Gal,"Garin de Monglane, Charlemagne",I p. 24; sIII p. 101,,,,,,,,,https://arlima.net/no/1199
650,101,,,,,Galien perdu,1150-01-01 00:00:00|1200-01-01 00:00:00,,"XII2/2, c. 1150-1200",162,Galien,,,lost,,,,,,,,"Moisan sIII, 'un poème initial est à l'origine des versions perdues dont sont issues les versions conservées, poème indépendant ou chap. d'une compilation de Garin de Montglane, sans doute antérieure à 1200.",,,,,,,,,,,,,,,
551,101,,,,,Garin d'Anseüne,1200-01-01 00:00:00|1300-01-01 00:00:00,,XIII,118,Enfances Vivien,,,lost_low-cert,,,,,,,,"Hypothèse propre à Moisan (cf. sIII), à partir des 214 premiers vers du ms. C, de 1295, des Enfances Vivien, qui piocherait dans un poème du XIIIe ne suivant par la tradition de Luserve et rapportant certains faits inconnus des versions conservées des Enfances Vivien. Romances espagnols pourraient témoigner d'une légende française perdue.",,,,,,I p. 46; sII p. 25; sIII p. 118,,,,,,,,,
651,101,,,,,Garin de Monglane,1250-01-01 00:00:00|1300-01-01 00:00:00,,XIII2/2,87,Garin de Monglane,Picardy,pic.,surviving,,,,,,Deux versions en prose,,"remaniée au XIVe. Stemma in Stengel_1882_GarinMonglane,",,,,GaM,,,,,,,verse,hexasyllable,,rhyme,https://arlima.net/no/30
759,101,,,,,Garin le Lorrain,1300-01-01 00:00:00|1500-01-01 00:00:00,,XIV-XV,79,Garin le Lorrain,,,fragm,,,,,,,,"Remaniement en alexandrins; cf. Suard p. 291 et surtout: P. Meyer, R 6 1877 481-489.",,,,,,,877,,,,,,,,https://arlima.net/no/214
653,101,,,,,Gaufrey,1250-01-01 00:00:00|1400-01-01 00:00:00,,XIII2/2 ou XIV2/2,213,Gaufrey,,pic.,surviving,,,,,,,,,,,,Gau,"Doon de Maience, Charlemagne",,,,,,,,,,https://arlima.net/no/1206
706,101,,,,,Généalogie des Lorrains du ms. de Turin,,,,,,,,,,,,,,,,"voir éd. Hervis de Mes. Chanson de geste anonyme (début du xiiie siècle) (éd. Jean-Charles Herbin), Genève, Droz, coll. « Textes littéraires français », 1992, p. 521 (la Généalogie est publiée aux p. 520-525, le Prologue aux p. 525-535). Dorénavant désigné à l’aide des lettres HM, suivies du numéro de la page.",,,,,,,,,,,,,,,
554,101,,,,,Geoffroi Grisegonelle??,1001-01-01 00:00:00|1200-01-01 00:00:00,,XI – XII,63,Geoffroi Grisegonelle??,,,lost_low-cert,,,,,,,,"Hypothèse de F. Lot, R 19, 1890, 377-393. À voir -> peut-être à rejeter.",,,,,,,,,,,,,,,
760,101,,,,,"Gerbert de Metz, rédaction (?) perdue",,,,80,Gerbert de Metz,,,fragm,,,,,,,,"fragm. dans Roman de la Rose ou Guill. de Dole (GMe) du Gerbert de Metz, (v. 1335-1367), qui 'provient d'une version ou d'une variation qui n'a pas survécu"" (F. Lecoy, R, 77 1956 433-434).",,,,,,,,,,,,,,,
555,101,,,,,Geste d'Aquitaine,,,,215,Geste d'Aquitaine?,,,lost_low-cert,,,,,,,,"Moisan sIII: à partir d'éléments de Gui de Nanteuil, de la mention d'un ""Gaiferus, rex Burdegalensis"" dans le PsT, de l'histoire de Lampagnie, fille d'Eudon introduite dans l'Historia episcoporum Autissiodorensium… Voir A. Longnon, Revue des questions historiques, 25 1879 193. Moisan sII rapporte aussi le fait que Saint-Martial de Limoges aurait conservé, au XIe, une bannière prise par Pépin à Waiferius (Adhemar de Chabannes).",,,,,,,,,,,,,,,
656,101,,,,,Geste des Ducs Phelipe et Jehan de Bourgoigne,1412-01-01 00:00:00|1500-01-01 00:00:00,,"XV, ap. 1412-1420",229,Geste des Ducs Phelipe et Jehan de Bourgoigne,,,surviving,,,,,,,,En alex. rimés. Suard p. 302-303.,,,,,,,,,,,,,,,
718,101,,,,Girart d'Amiens,Charlemagne,1285-01-01 00:00:00|1314-01-01 00:00:00,,"XIV, c. 1285-1314",175,Charlemagne,,pic.,surviving,,maybe,,,,,,On a pu supposer des romans perdus parmi ses sources. Voir l'édition récente et Moisan.,,,,Cha,Charlemagne,,,,,,,,,,https://arlima.net/no/249
761,101,,,,,Girart de Fraite,,,,217,Girart de Fraite,,,fragm,,,,,,"Roman en prose de Gerard d'Euphrate, Paris, 1545. Autres remaniements, perdus.",,"Citation d'un vers par  Claude Fauchet, cf. Moisan sIV Fau. Inclus dans Aspremont (Moisan). Procédérait d'un Girart de Vienne primitif perdu lui aussi (cf Moisan sIII), et R. Louis, ""Girart, comte de Vienne…, I 115-176, II 75, 272, 283-284. Connu par l'auteur de l'Entrée d'Espagne (A. Thomas, Nouvelles recherches sur l'Entrée d'Espagne…, 1882, p. 40). Gröber, Grundriss…, 1902, II, 1, p. 808, pense que n'a jamais existé. Voir le CR,  Faral Edmond. Girart de Roussillon. In: Journal des savants, Janvier-juin 1948. pp. 5-15. www.persee.fr/doc/jds_0021-8103_1948_num_1_1_2536 Et  Lot Ferdinand. Encore la légende de Girart de Roussillon, à propos d'un livre récent (deuxième article). In: Romania, tome 70 n°279, 1948. pp. 355-396. DOI : https://doi.org/10.3406/roma.1948.3671 De nombreux remaniements en sont supposés par R. Louis (cf. art. F. Lot).",,,,,,I p. 86; sII p. 34; sIII p. 186,,,,,,,,,
735,101,,fro_PRO,,,Girart de Roussillon,1136-01-01 00:00:00|1180-01-01 00:00:00,,"XIImed, 1136-1180 ou 1155-1180",218,Girart de Roussillon,,,surviving,,maybe,,allemande,,mise en prose,,"Existe aussi une version en alexandrins du XIVe, GR3, poème bourguignon, c. 1330-1336, NO de Dijon. Mention de Claude Fauchet, cf. Moisan sIV Fau. Existe un Gerart von Rossiliun.
Le texte original pourrait être bourguignon, ou bien, selon la notice Jonas, «L'auteur du ""Girart"" original venait probablement de la région de Vienne; sa langue est influencée par le français et le provençal (voir notamment Pfister, 1970c, p. 325). Cette oeuvre ne nous est pas parvenue; le ms. O transmet la copie italienne du remaniement poitevin de ce ""Ur-Girart"" perdu (voir Pfister, 1970). ». Stemma dans Schweppe 1878.",,,,GR,bourguignonne,,,,,,,,,,https://arlima.net/no/5123
